Impressora,Setor,IP,Cor,Nivel_Porcentagem,Ultima_Atualizacao
Brother,Financeiro,192.168.2.17,Drum Unit,57,18/08/2026 15:26
Brother,Recepção SEDE,192.168.4.20,Drum Unit,75,18/08/2026 15:26
Brother,Propulsão,192.168.2.19,Drum Unit,69,18/08/2026 15:26
Brother,Compras,192.168.10.20,Drum Unit,98,18/08/2026 15:26
Brother,Easy,192.168.5.19,Drum Unit,95,18/08/2026 15:26
